Provincia de Córdoba según Municipios/Comunas. Indicadores seleccionados. Año 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Departamento,Municipio o Comuna,Hogares,contexto22,contexto14,contexto16,contexto17,Población total,contexto01,% Población 15 a 64 años,% Población 15 a 64 años ocupada,Población 15 a 64 años ocupada que es asalariada,% Población 15 a 64 años asalariada sin descuento jubilatorio,contexto08,contexto06,% Población de 25 a 64 años,contexto10,contexto11,% Población de 18 a 64 años,contexto12,contexto15,contexto13,% Población con dificultad o limitación visual,% Población con dificultad o limitación auditiva,% Población con dificultad o limitación motora inferior,% Población con dificultad o limitación motora superior,% Población con dificultad o limitación cognitiva,% Población con dos o más dificultades o limitaciones,% Población según tipo de dificultad o limitación para ver,% Población con al menos una dificultad o limitación para oír,% Población con al menos una dificultad o limitación para caminar o subir,% Población con al menos una dificultad o limitación para agarrar objetos,% Población con al menos una dificultad o limitación para entender y/o aprender,% Población en asentamientos informales,contexto21,,
CRUZ DEL EJE, MEDIA NARANJA,246,7.3,19.5,0.0,15.0,936,32.1,61.2,46.8,41.0,47.3,6.3,38.5,39.7,12.1,7.8,52.2,40.0,0.2,17.3,5.8,1.0,2.6,0.7,1.1,6.2,10.6,4.1,6.8,3.7,2.9,-,.,,
CRUZ DEL EJE, PASO VIEJO,268,6.7,23.5,0.7,8.2,"1,033",2390.1,57.8,52.8,82.9,59.4,2.5,35.1,40.9,15.6,8.5,51.0,40.5,0.3,21.5,8.4,1.3,2.9,0.4,0.7,7.8,15.0,5.3,8.8,3.3,3.7,-,.,,
CRUZ DEL EJE, TUCLAME,223,4.0,17.0,0.9,11.7,907,2093.0,59.6,43.3,81.2,57.9,4.1,32.5,39.6,20.1,7.7,52.8,39.5,0.0,26.0,7.6,1.3,3.6,0.4,2.9,10.1,15.4,6.4,10.7,5.5,6.3,-,.,,
GENERAL ROCA, ZONA RURAL NO COMPRENDIDA EN MUNICIPIOS O COMUNAS,"1,203",3.6,4.2,8.6,2.2,"3,439",-,69.5,75.0,91.7,38.4,1.2,75.0,55.1,20.2,6.0,64.9,29.1,0.7,7.8,4.4,0.4,1.0,0.1,0.4,1.4,5.4,1.0,2.1,0.7,0.6,-,.,,
GENERAL ROCA, BUCHARDO,647,13.0,12.7,0.6,2.3,"1,795",541.3,60.5,71.1,87.6,50.4,2.9,66.0,47.6,32.4,15.4,56.6,28.0,0.6,10.1,3.7,0.8,2.3,0.1,0.4,2.8,5.7,1.6,4.7,1.2,1.3,-,.,,
GENERAL ROCA, DEL CAMPILLO,"1,165",8.1,14.6,0.5,3.3,"3,508",575.3,65.0,67.5,89.7,51.9,3.5,63.4,48.3,30.1,10.7,60.1,29.2,0.3,10.8,4.4,0.7,1.5,0.3,0.7,3.1,6.6,1.7,3.9,1.7,1.5,-,.,,
GENERAL ROCA, HUINCA RENANCO,"3,031",10.2,16.5,0.6,2.5,"9,487",742.1,62.4,68.7,85.4,46.6,4.1,65.5,45.8,41.3,12.7,57.1,30.2,0.6,9.9,4.1,0.7,1.5,0.3,0.6,2.8,5.8,1.6,3.9,1.4,1.4,-,.,,
GENERAL ROCA, ITALO,381,12.3,15.0,1.6,1.3,"1,120",374.3,61.2,75.2,96.1,45.7,1.3,66.8,45.4,38.8,16.0,56.2,27.9,0.8,11.2,3.0,0.5,3.0,0.3,0.9,3.4,5.6,2.0,5.6,1.8,1.7,-,.,,
GENERAL ROCA, JOVITA,"1,554",9.9,12.8,0.9,2.6,"4,823",1312.1,63.3,70.0,91.0,54.2,2.2,72.1,46.8,41.9,13.2,57.0,29.8,0.7,10.4,3.8,0.4,1.7,0.2,0.4,4.0,6.0,1.6,5.2,2.6,2.2,-,.,,
GENERAL ROCA, MATTALDI,614,10.3,11.2,0.8,1.6,"1,842",345.9,62.8,68.4,91.9,56.7,2.5,62.8,47.9,31.3,13.0,58.1,28.9,0.8,9.1,3.3,0.6,1.8,0.4,0.7,2.3,4.8,1.2,3.7,1.5,1.2,-,.,,
GENERAL ROCA, VILLA HUIDOBRO,"1,805",8.5,15.7,0.2,2.7,"5,658",914.1,62.2,65.9,87.7,53.2,3.7,61.7,46.0,38.1,11.8,57.6,30.6,0.3,10.2,4.2,0.7,1.7,0.1,0.7,2.9,6.1,1.6,3.8,1.3,1.5,-,.,,
GENERAL ROCA, VILLA VALERIA,896,8.0,16.6,0.4,6.4,"3,002",739.1,62.1,67.4,44.5,41.3,4.4,56.3,46.4,26.7,9.1,57.0,33.8,0.4,12.0,5.5,0.6,1.6,0.1,1.4,2.8,7.5,1.7,3.4,1.2,2.6,-,.,,
