departamento,comuna,contexto01,contexto03,contexto06,contexto08,contexto10,contexto11,contexto12,contexto13,contexto14,contexto15,contexto16,contexto17,contexto21,contexto22
Rio Cuarto, Las Vertientes,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Malena,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Monte De Los Gauchos,4,0,1,0,0,0,0,0,1,0,1,0,0,0
Rio Cuarto, Rio Cuarto,4,0,1,0,1,0,0,0,0,0,0,0,0,0
Rio Cuarto, Sampacho,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Rio Cuarto, San Basilio,4,0,1,0,0,1,0,0,0,0,0,0,0,1
Rio Cuarto, Santa Catalina,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Suco,4,0,0,0,0,0,0,1,0,0,0,0,0,1
Rio Cuarto, Tosquita,4,0,0,0,0,0,0,0,1,0,1,0,0,0
Rio Cuarto, Vicuña Mackenna,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Villa El Chacay,4,0,0,0,1,0,0,0,0,0,1,0,0,1
Rio Cuarto, Washington,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, Atahona,4,0,0,0,0,0,1,1,1,0,0,0,0,0
Rio Primero, Cañada De Machado,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, Capilla De Los Remedios,4,0,0,1,0,0,0,1,0,0,0,0,0,0
Rio Primero, Chalacea,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Rio Primero, Colonia Las Cuatro Esquinas,4,0,0,0,0,0,1,0,0,0,1,0,0,1
Rio Primero, Comechingones,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, Diego De Rojas,4,0,0,0,0,0,1,0,1,1,0,1,0,0
Rio Primero, El Crispin,4,0,0,1,0,0,0,1,0,0,0,0,0,0
Rio Primero, Esquina,4,0,0,0,0,0,0,1,0,1,0,0,0,1
Rio Primero, Kilometro 658,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, La Para,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, La Posta,4,0,0,0,0,0,0,0,1,0,0,1,0,0
Rio Primero, La Puerta,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, La Quinta,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Rio Primero, Las Gramillas,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Rio Primero, Las Saladas,4,1,0,0,0,1,0,0,0,0,0,0,0,0
Rio Primero, Maquinista Gallini,4,0,0,1,0,0,0,0,1,0,1,0,0,0
Rio Primero, Monte Cristo,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Rio Primero, Obispo Trejo,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Rio Primero, Piquillin,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, Plaza De Mercedes,4,0,0,0,0,0,0,1,0,0,0,0,0,0
Rio Primero, Rio Primero,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, Sagrada Familia,4,0,0,0,0,1,0,1,0,0,0,0,0,0
